USER_ID,USER_LOAN_RANK,CREDIT_SCORE
88493,4,0.8202
88498,2,0.8245
88502,1,0.643
88520,3,0.8449
88665,20,0.8122
88693,5,0.847
88769,11,0.8526
89129,24,0.8778
89146,6,0.8829
89703,1,0.7879
89733,7,0.8541
89796,3,0.8255
89819,3,0.8844
90004,26,0.7459
90026,25,0.758
90031,1,0.8368
90211,14,0.8951
90393,13,0.8499
90748,30,0.7276
90923,11,0.9146
91059,8,0.9076
91067,53,0.7597
91084,19,0.8341
91209,8,0.8885
91301,1,0.5657
91805,16,0.8523
92070,5,0.9004
92143,20,0.8485
92199,3,0.8395
92926,10,0.8459
93179,3,0.8391
93289,27,0.8371
93299,6,0.8029
93457,16,0.8524
93589,34,0.8242
93751,12,0.8468
94074,23,0.7959
94106,28,0.854
94242,19,0.8456
94714,14,0.8566
94952,12,0.8632
95102,3,0.8606
95159,2,0.7909
95267,2,0.8596
95372,19,0.834
95611,3,0.894
95658,1,0.6346
95730,2,0.8681
95732,14,0.9229
95748,2,0.8372
95808,29,0.8817
95980,19,0.8407
96069,21,0.8317
96221,4,0.8893
96264,30,0.8425
96375,9,0.8452
96411,22,0.8987
96727,1,0.5322
96883,5,0.8782
96992,3,0.8631
97246,8,0.9301
97440,10,0.8897
97528,7,0.8434
97553,3,0.9005
97657,24,0.8968
98053,30,0.7892
98129,12,0.8786
98168,23,0.8196
98201,2,0.7098
98537,13,0.8626
98617,15,0.8755
98675,22,0.8838
98798,15,0.8433
99431,7,0.8332
99585,26,0.8332
99716,9,0.9038
99868,4,0.852
99905,27,0.8828
99908,24,0.8006
100123,3,0.8618
100195,4,0.8435
100266,1,0.7796
100406,6,0.8927
100431,1,0.5825
100540,9,0.8416
100793,40,0.808
101231,18,0.8128
101258,1,0.5688
101443,9,0.829
101518,11,0.8292
101970,4,0.8183
102058,1,0.6423
102344,10,0.8947
102369,7,0.8593
102708,6,0.8146
102725,5,0.8295
102757,12,0.833
102895,34,0.7025
103112,8,0.7718
103413,1,0.6364
103644,9,0.839
103855,8,0.8521
103898,8,0.8542
104052,5,0.8972
104094,5,0.8247
104097,7,0.8378
104137,5,0.8628
104271,17,0.8186
104323,31,0.8811
104493,1,0.6028
104530,7,0.7817
104715,4,0.8946
104838,5,0.8677
104943,12,0.8946
105018,2,0.8193
105078,20,0.8751
105339,19,0.8944
105344,4,0.8365
105499,6,0.8659
105620,9,0.8879
105700,3,0.9135
105983,10,0.8353
106016,17,0.8401
106197,2,0.7259
106342,6,0.8735
106438,18,0.8334
106674,22,0.8711
106756,4,0.8185
106994,6,0.9013
107326,24,0.7669
107509,28,0.856
107511,1,0.7835
107545,1,0.6408
107673,20,0.8512
107813,4,0.8696
107837,7,0.9018
108184,20,0.8684
108294,4,0.814
108414,13,0.8767
108926,1,0.6583
109469,6,0.8539
109768,19,0.803
110104,2,0.8249
110339,2,0.8489
110643,9,0.8561
110746,19,0.7706
110955,4,0.888
111366,16,0.83
111368,3,0.8357
111458,15,0.8322
111672,12,0.833
111726,5,0.8825
111935,11,0.8095
112272,1,0.5152
112300,14,0.851
112581,8,0.87
112635,7,0.8823
113000,24,0.821
113032,9,0.8243
113049,6,0.7891
113117,11,0.8519
113142,6,0.8614
113147,7,0.8549
113169,19,0.8068
113294,12,0.8797
113784,9,0.8978
113786,14,0.8631
113888,4,0.8917
114008,13,0.8901
114341,10,0.8287
114381,7,0.837
114420,2,0.875
114550,10,0.8883
114563,17,0.7993
114726,26,0.7606
114895,7,0.8671
115023,15,0.8897
115575,7,0.8793
115611,2,0.8785
115615,13,0.9007
115729,8,0.8214
115758,2,0.8386
115776,18,0.9098
115889,10,0.8945
115909,5,0.8501
115982,8,0.7703
116173,4,0.8001
116572,31,0.8086
116609,3,0.9035
116740,6,0.8858
116899,8,0.8181
116900,19,0.8856
117228,8,0.8901
117589,6,0.8841
117622,5,0.8685
117855,28,0.8191
118154,1,0.7452
118196,3,0.8623
118357,11,0.8424
118479,15,0.8652
118567,23,0.8573
118618,3,0.841
118640,8,0.8024
118720,1,0.6097
118850,8,0.9317
119501,4,0.8348
119591,14,0.8159
119690,5,0.8937
120033,5,0.8264
120150,5,0.9122
120153,23,0.8014
120208,17,0.8915
120307,6,0.8654
120364,16,0.8571
120547,3,0.8046
120656,11,0.8289
120896,6,0.8273
120946,7,0.7986
121297,14,0.8533
121298,3,0.835
121733,8,0.8384
121737,8,0.8717
121762,29,0.8845
121840,13,0.9035
121971,12,0.7794
122006,3,0.8114
122039,1,0.6348
122124,26,0.7904
122312,2,0.9363
122432,17,0.8357
122683,2,0.8508
122780,11,0.858
123122,2,0.8123
123310,8,0.8438
123366,12,0.9173
123635,4,0.8434
123697,10,0.8442
123701,1,0.5223
123709,7,0.9094
123850,6,0.8526
124033,5,0.8993
124077,12,0.8076
124257,4,0.8706
124290,13,0.8516
124589,14,0.8672
124616,18,0.6835
124632,3,0.853
125145,7,0.8314
125188,18,0.8048
125213,6,0.8884
125464,14,0.7949
125667,6,0.8038
125683,4,0.7964
125753,5,0.8598
126044,1,0.6347
126092,6,0.8131
126316,2,0.8467
126803,13,0.865
127038,10,0.8729
127381,23,0.7487
127515,10,0.8387
128127,22,0.7527
128241,4,0.8109
128734,8,0.8709
128838,8,0.8954
128945,31,0.876
129207,23,0.852
129218,2,0.8426
129261,9,0.8639
129299,21,0.8766
129486,5,0.8869
129941,2,0.8011
130006,22,0.8534
130042,6,0.8381
130180,8,0.9022
130193,6,0.8859
130344,14,0.8199
130548,11,0.8729
130593,16,0.8578
130781,9,0.8242
130912,3,0.8395
130996,16,0.8641
131240,10,0.8568
131493,27,0.7659
131502,12,0.9008
131547,3,0.887
131622,22,0.805
131734,6,0.8538
131756,6,0.9168
131938,4,0.8576
132117,11,0.8658
132376,32,0.8511
132410,4,0.8385
132669,16,0.8728
132774,17,0.8092
132871,25,0.8504
133026,24,0.8484
133064,1,0.5905
133103,11,0.8398
133144,6,0.9385
133163,3,0.8048
133618,2,0.8361
133627,8,0.8381
133828,16,0.8219
133841,15,0.7312
134053,2,0.829
134246,2,0.8856
134450,19,0.8691
134500,4,0.8923
134760,15,0.8629
134801,1,0.7838
134917,16,0.833
135161,2,0.8652
135217,9,0.8673
135377,19,0.8475
135610,6,0.8726
135867,17,0.8877
136069,6,0.8999
136603,14,0.811
136793,5,0.8019
136965,28,0.8512
137059,7,0.8641
137113,1,0.4956
137132,3,0.8257
137658,1,0.5404
137669,14,0.7673
137768,10,0.8642
137859,11,0.8303
138037,25,0.8554
138142,4,0.8616
138308,3,0.8749
138401,3,0.8155
138647,16,0.8333
138735,2,0.8208
138964,9,0.9182
139005,2,0.799
139092,5,0.8557
139390,6,0.874
139424,1,0.5598
139958,20,0.8465
139995,3,0.8093
140018,27,0.8378
140044,7,0.8622
140213,16,0.9171
140224,28,0.8288
140278,27,0.8269
140549,16,0.8533
140588,1,0.6083
140718,4,0.8468
140727,13,0.7291
140742,2,0.8541
140899,1,0.5723
140919,11,0.8549
140923,2,0.8903
141113,1,0.6753
141373,5,0.9054
141382,18,0.7696
141443,5,0.8409
141625,4,0.8051
141734,2,0.8493
141830,1,0.5468
141832,9,0.8841
141880,6,0.8487
142093,3,0.8763
142125,7,0.881
142306,18,0.8228
142631,22,0.8204
142720,6,0.8549
142755,3,0.8645
142885,28,0.8893
142938,3,0.8588
143017,2,0.7792
143127,2,0.8515
143319,2,0.7639
143597,9,0.842
143611,2,0.8301
143837,25,0.8767
143918,16,0.809
144175,17,0.8583
144224,1,0.7396
144406,6,0.8577
144857,2,0.7978
144965,1,0.6793
145107,10,0.8312
145245,12,0.8479
145287,4,0.8738
145360,1,0.5839
145550,21,0.8752
145571,29,0.7996
145588,12,0.847
145933,6,0.929
145959,1,0.8291
146196,2,0.8314
146362,11,0.8329
146763,14,0.8403
146770,6,0.8544
146844,22,0.853
146874,10,0.8594
146937,30,0.8194
147027,16,0.8716
147714,31,0.7214
147906,10,0.875
147967,5,0.841
148067,1,0.718
148069,2,0.8516
148353,2,0.7918
148624,10,0.8765
148705,23,0.7962
148722,16,0.8343
148786,20,0.8531
148977,2,0.7754
149167,4,0.8147
149306,24,0.8377
149799,3,0.8857
149899,2,0.7731
150003,5,0.8889
150541,12,0.8722
150608,14,0.9133
150612,7,0.8486
150858,10,0.8516
150883,25,0.7624
150935,2,0.8401
151111,8,0.8314
151149,7,0.8717
151505,8,0.8347
151536,4,0.8675
151568,5,0.8354
151858,29,0.7556
151864,3,0.8011
152213,18,0.8497
152227,8,0.8926
152477,3,0.8724
152512,11,0.8566
152625,2,0.7805
152907,15,0.8962
153301,10,0.8923
153316,6,0.8773
153378,2,0.8297
153781,15,0.9252
153895,17,0.7666
154267,1,0.5369
154433,4,0.8888
154546,27,0.9262
154591,18,0.856
154614,11,0.8583
154760,7,0.9001
154835,16,0.8701
154914,4,0.8075
155044,27,0.7888
155120,8,0.8482
155226,20,0.8321
155235,13,0.8674
155278,4,0.8183
155657,24,0.8115
155685,7,0.8319
155765,24,0.8258
155851,7,0.8731
155958,7,0.8762
155997,6,0.8434
156148,5,0.8457
156162,15,0.8475
156864,23,0.8627
156917,3,0.8564
156966,5,0.8666
157039,15,0.8587
157075,29,0.7541
157691,2,0.8604
157878,16,0.842
158028,3,0.9172
158122,10,0.915
158143,21,0.8175
158225,27,0.8013
158349,5,0.8994
158799,22,0.8487
158946,20,0.8524
158991,19,0.8951
159061,30,0.8775
159497,16,0.8523
159528,26,0.9474
159648,6,0.857
159719,4,0.8577
159874,3,0.7999
159903,11,0.8609
160014,6,0.8608
160207,15,0.8651
160307,8,0.849
160764,7,0.8667
160871,1,0.6389
160886,4,0.8494
160950,19,0.8485
161008,19,0.841
161047,12,0.7654
161327,2,0.8283
161341,23,0.8719
161478,17,0.7521
161715,4,0.8316
161890,18,0.8886
161953,1,0.5836
162402,5,0.8866
162452,3,0.852
162539,15,0.8185
162556,18,0.8724
162657,6,0.8889
162670,26,0.7055
162755,9,0.8531
162916,5,0.8194
163276,3,0.8298
163311,6,0.8463
163330,4,0.8414
163468,1,0.7235
163477,36,0.8017
163562,1,0.6735
163962,18,0.8525
164034,5,0.8712
164098,1,0.5274
164279,3,0.9151
164332,3,0.902
164967,15,0.8442
165054,15,0.8816
165063,10,0.8361
165227,5,0.8274
165358,22,0.8152
165496,6,0.8054
165603,25,0.8558
165918,18,0.8648
166156,22,0.8373
166875,1,0.6019
166883,12,0.8227
167213,9,0.8816
167316,3,0.8824
167350,25,0.8089
167356,8,0.8786
167498,12,0.892
167526,28,0.8534
167578,1,0.7594
167775,2,0.8268
167804,4,0.8524
167932,1,0.6527
168103,4,0.9023
168198,19,0.8666
168494,8,0.8883
168613,8,0.8665
168728,1,0.647
169011,10,0.8814
169062,25,0.8678
169194,12,0.7994
169249,1,0.5347
169473,8,0.876
169615,2,0.8183
169755,18,0.8416
169769,12,0.8497
169802,2,0.8237
169938,7,0.7698
170129,16,0.8039
170160,4,0.8654
170441,23,0.7832
170447,16,0.7978
170515,21,0.8118
170707,2,0.7876
170785,13,0.8775
170790,6,0.8088
171012,14,0.7913
171095,5,0.8948
171273,13,0.8119
171514,5,0.8713
171515,1,0.5786
171650,15,0.8608
171653,1,0.6797
171713,3,0.8673
171781,7,0.8638
171798,6,0.873
171926,12,0.848
172103,2,0.8322
172276,5,0.8561
172308,7,0.8495
172531,20,0.7933
172768,4,0.8363
172885,4,0.8252
173042,4,0.8478
173228,1,0.6227
173301,3,0.7866
173440,1,0.5789
173507,23,0.8771
173582,16,0.8819
173615,11,0.8345
173711,5,0.871
173796,4,0.8473
173878,4,0.8533
173879,3,0.8612
174226,11,0.8708
174321,15,0.783
174419,30,0.835
174466,1,0.6466
174505,4,0.803
174596,19,0.8658
174609,9,0.8425
174831,1,0.6793
175148,4,0.8204
175157,9,0.8953
175648,17,0.851
175746,7,0.8678
175798,8,0.8475
175892,5,0.945
176087,4,0.8485
176218,17,0.8023
176388,26,0.7974
176481,1,0.7133
176485,16,0.8733
176600,2,0.8381
176735,4,0.8674
176984,22,0.8712
177129,2,0.9254
177263,29,0.8626
177324,7,0.8508
177665,3,0.8775
177713,8,0.865
177776,15,0.803
177798,8,0.8227
178127,1,0.5349
178171,8,0.8312
178565,1,0.5984
178606,1,0.6538
179098,6,0.8923
179215,3,0.8107
179438,3,0.8882
179603,43,0.8655
179890,3,0.8432
179894,23,0.8262
179912,2,0.8026
180153,7,0.8303
180264,6,0.8673
180327,18,0.7255
180666,5,0.8271
180707,3,0.8947
180836,7,0.8624
180965,27,0.7504
181003,10,0.7822
181088,8,0.8199
181197,14,0.8956
181320,11,0.8342
181697,20,0.8134
181734,2,0.8196
181844,21,0.8512
181907,2,0.8312
182061,18,0.8249
182134,23,0.86
182312,2,0.8155
182315,14,0.8553
182419,4,0.8332
182469,12,0.8427
182556,5,0.7954
182742,19,0.829
182900,3,0.8795
183100,20,0.8824
183139,19,0.8405
183202,4,0.8623
183299,5,0.8697
183370,32,0.8189
183506,4,0.9185
183671,7,0.8928
183708,7,0.8453
183945,3,0.8203
184007,1,0.5466
184061,16,0.6428
184120,2,0.8134
184206,2,0.8346
184341,3,0.8607
184529,3,0.8817
184533,15,0.8348
184557,2,0.7953
184900,9,0.8751
185065,11,0.8218
185130,6,0.8535
185162,7,0.8602
185176,7,0.87
185468,5,0.8714
185579,4,0.8614
185675,1,0.4969
185699,4,0.8386
185894,13,0.8796
185903,20,0.8343
185941,15,0.8863
186335,14,0.8657
186379,13,0.8113
186523,12,0.9185
186550,5,0.9073
186584,20,0.8214
186658,2,0.8164
186663,2,0.8243
186722,17,0.8604
186810,26,0.83
186812,4,0.8739
187179,6,0.855
187194,6,0.8114
187513,4,0.8559
187815,7,0.8548
187943,23,0.7628
187957,11,0.853
187987,12,0.8759
188001,2,0.8381
188121,16,0.8746
188194,20,0.8182
188458,5,0.8448
188498,21,0.8272
188527,6,0.8584
188618,13,0.8397
188656,23,0.8684
188661,19,0.8689
188750,3,0.8436
188773,7,0.8479
189030,7,0.8358
189115,5,0.898
189252,14,0.8458
189254,5,0.8244
189377,9,0.8861
189542,1,0.6517
189794,18,0.8279
189806,15,0.7735
190282,12,0.8621
190341,3,0.8367
190356,16,0.8715
190430,3,0.8613
190550,1,0.6675
190620,7,0.8649
190743,1,0.6287
191021,2,0.833
191141,6,0.8522
191284,11,0.8862
191476,6,0.8986
191690,1,0.6656
191701,16,0.8499
191724,2,0.79
191754,17,0.8329
191786,27,0.8708
192011,2,0.8468
192186,9,0.8778
192269,3,0.7746
192311,22,0.869
192319,7,0.8483
192384,2,0.8947
192896,9,0.9002
193054,5,0.8122
193072,16,0.7938
193269,5,0.8706
193517,5,0.8839
193589,8,0.9074
193625,12,0.8084
193734,3,0.8571
193793,1,0.6291
193880,23,0.8258
193971,12,0.8305
194046,2,0.9251
194101,3,0.8395
194118,11,0.8597
194139,2,0.7727
194181,1,0.6639
194193,4,0.9108
194265,4,0.8263
194324,15,0.8217
194338,30,0.878
194668,12,0.8736
194741,5,0.8266
194758,23,0.8419
194883,8,0.8748
194953,2,0.8062
195011,24,0.8615
195051,14,0.7755
195080,3,0.8432
195243,9,0.8462
195305,14,0.8641
195664,14,0.8526
195853,16,0.8626
196249,13,0.7945
196365,5,0.7975
196540,7,0.8788
196596,15,0.8286
196668,10,0.833
196804,9,0.8825
196878,2,0.834
197026,7,0.8513
197095,24,0.8373
197189,2,0.841
197232,2,0.8523
197252,1,0.591
197426,1,0.584
197567,5,0.891
197764,24,0.8045
197885,3,0.7924
198035,15,0.8336
198043,2,0.8427
198126,3,0.7324
198540,5,0.8483
198620,5,0.8941
198845,18,0.8267
199281,33,0.7802
199285,2,0.8337
199303,12,0.9006
199317,14,0.8473
199435,1,0.5487
199537,3,0.8697
199647,2,0.856
199711,35,0.8377
199777,22,0.7446
200143,2,0.8763
200173,17,0.8085
200314,11,0.8861
200394,4,0.8216
200555,2,0.8823
200593,1,0.5754
200683,16,0.861
201092,2,0.7705
201136,4,0.8726
201231,15,0.8768
201294,4,0.8796
201297,6,0.8681
201312,5,0.8476
201361,15,0.8961
201467,6,0.8855
201684,1,0.6684
201807,7,0.9087
201943,5,0.8225
202052,7,0.8262
202209,2,0.8148
202347,11,0.8779
202465,4,0.8861
202687,1,0.5284
202747,8,0.882
