ID,LOAN_ID,USER_ID,CREATED_AT,AMOUNT_DISBURSED,AMOUNT_FEE,NUM_REPAYMENTS,DAYS_BTWN_REPAYMENTS,LOAN_TERM_DAYS,LOAN_STATUS,DISBURSED_AT,USER_LOAN_RANK,PAID_IN_FULL_AT,CREDIT_SCORE,AMOUNT_REPAID,LOAN_TENURE
82044,6382784,2793732,2018-12-06,1000,152,4,7,28,defaulted,2018-12-06 00:00:00,2,,0.8006,0,
41856,5436418,2794127,2018-04-29,3100,432,4,7,28,defaulted,29/04/18,2,,0.8434,1380,
17330,6673102,2794350,2018-06-26,6600,1782,2,28,56,defaulted,26/06/18,5,,0.866,0,
6838,6288801,2794423,2018-08-06,1000,152,4,7,28,defaulted,2018-08-06 00:00:00,2,,0.7477,252,
83604,6551928,2794482,2018-06-20,9000,1656,8,7,56,defaulted,20/06/18,8,,0.9116,1334,
84539,6076866,2794550,2018-05-29,1000,152,4,7,28,defaulted,29/05/18,6,,0.84,0,
36878,5355857,2794726,2018-04-25,2000,304,4,7,28,defaulted,25/04/18,2,,0.7992,0,
19170,5923508,2795213,2018-05-22,3100,432,4,7,28,defaulted,22/05/18,4,,0.839,0,
39011,4939464,2795270,2018-05-04,500,76,4,7,28,defaulted,2018-05-04 00:00:00,2,,0.8085,0,
85903,5008471,2795369,2018-08-04,500,76,4,7,28,defaulted,2018-08-04 00:00:00,2,,0.8004,397,
5913,6384433,2795627,2018-12-06,1000,152,4,7,28,defaulted,2018-12-06 00:00:00,3,,0.8345,0,
76461,5389464,2796264,2018-04-27,3100,432,4,7,28,defaulted,27/04/18,6,,0.9009,0,
26052,5519320,2796265,2018-03-05,500,76,4,7,28,defaulted,2018-03-05 00:00:00,3,,0.7901,0,
149,5081186,2796269,2018-12-04,3100,432,4,7,28,defaulted,2018-12-04 00:00:00,2,,0.8214,0,
76353,5179950,2796350,2018-04-16,500,76,4,7,28,defaulted,16/04/18,3,,0.8576,0,
71989,4938907,2796462,2018-05-04,500,76,4,7,28,defaulted,2018-05-04 00:00:00,2,,0.7711,2,
26909,4837416,2796993,2018-01-04,2000,304,4,7,28,defaulted,2018-01-04 00:00:00,3,,0.8137,0,
9397,4944397,2797223,2018-06-04,3100,432,4,7,28,defaulted,2018-06-04 00:00:00,2,,0.82,2,
56373,5875099,2797577,2018-05-19,1000,152,4,7,28,defaulted,19/05/18,5,,0.8517,0,
